@relation datasetCleanedNumeric

@attribute Case_no numeric
@attribute checking_status numeric
@attribute credit_history {'critical/other existing credit','existing paid','delayed previously','no credits/all paid','all paid'}
@attribute purpose {radio/tv,education,furniture/equipment,'new car','used car',business,'domestic appliance',repairs,other,retraining}
@attribute credit_amount numeric
@attribute saving_status numeric
@attribute employment numeric
@attribute personal_status {'male single','female div/dep/mar','male div/sep','male mar/wid'}
@attribute age numeric
@attribute job numeric
@attribute class numeric

@data
140,2,'existing paid',radio/tv,1881,1,2,'female div/dep/mar',44,1,1
141,2,'existing paid','new car',709,4,1,'male mar/wid',27,0,1
142,1,'existing paid',radio/tv,4795,1,1,'female div/dep/mar',30,3,1
143,-1,'existing paid',radio/tv,3416,1,2,'male single',27,3,1
144,-1,'existing paid',furniture/equipment,2462,1,2,'male single',22,2,0
145,0,'critical/other existing credit',furniture/equipment,2288,1,1,'female div/dep/mar',23,2,1
146,1,'all paid',business,3566,2,3,'male single',30,2,1
147,-1,'critical/other existing credit','new car',860,1,4,'female div/dep/mar',39,2,1
148,0,'critical/other existing credit','new car',682,2,3,'female div/dep/mar',51,2,1
149,-1,'critical/other existing credit',furniture/equipment,5371,1,2,'male single',28,2,1
150,0,'critical/other existing credit',radio/tv,1582,4,4,'male single',46,2,1
151,0,'existing paid',radio/tv,1346,2,4,'male single',42,2,1
152,0,'existing paid',radio/tv,1924,1,2,'male single',38,2,1
153,2,'existing paid',radio/tv,5848,1,2,'male single',24,2,1
154,1,'critical/other existing credit','used car',7758,4,4,'female div/dep/mar',29,2,1
155,1,'delayed previously',business,6967,2,3,'male single',36,3,1
156,-1,'existing paid',furniture/equipment,1282,1,2,'female div/dep/mar',20,2,0
157,-1,'critical/other existing credit',repairs,1288,2,4,'male single',48,2,1
158,-1,'all paid',retraining,339,1,4,'male mar/wid',45,1,1
159,1,'existing paid','new car',3512,2,3,'male single',38,2,1
160,0,'critical/other existing credit',radio/tv,1898,0,2,'male single',34,1,1
161,0,'critical/other existing credit',radio/tv,2872,2,4,'male single',36,2,1
162,0,'critical/other existing credit','new car',1055,1,1,'female div/dep/mar',30,2,1
163,0,'existing paid','domestic appliance',1262,3,3,'male single',36,2,1
164,1,'existing paid','new car',7308,1,0,'male single',70,3,1
165,0,'existing paid','new car',909,3,4,'male single',36,2,1
166,0,'existing paid',furniture/equipment,2978,3,2,'male single',32,2,1
167,-1,'existing paid',furniture/equipment,1131,1,0,'female div/dep/mar',33,2,0
168,1,'existing paid',furniture/equipment,1577,4,1,'female div/dep/mar',20,2,1
169,0,'existing paid',furniture/equipment,3972,1,3,'female div/dep/mar',25,2,1
170,1,'critical/other existing credit',business,1935,1,4,'male div/sep',31,2,0
171,-1,'no credits/all paid','new car',950,1,4,'male single',33,2,0
172,0,'existing paid',furniture/equipment,763,1,2,'female div/dep/mar',26,2,1
173,1,'delayed previously',furniture/equipment,2064,1,0,'female div/dep/mar',34,3,0
174,1,'existing paid',radio/tv,1414,1,2,'male single',33,2,1
175,-1,'delayed previously',education,3414,1,1,'male single',26,2,0
176,0,'all paid','used car',7485,0,0,'female div/dep/mar',53,3,0
177,-1,'existing paid',furniture/equipment,2577,1,2,'male div/sep',42,2,1
178,-1,'critical/other existing credit',radio/tv,338,3,4,'male single',52,2,1
179,0,'existing paid',radio/tv,1963,1,3,'male single',31,3,1
180,-1,'critical/other existing credit','new car',571,1,4,'male single',65,2,1
181,0,'delayed previously',business,9572,1,1,'male div/sep',28,2,0
182,1,'delayed previously',business,4455,1,2,'male div/sep',30,3,0
183,-1,'all paid','new car',1647,0,2,'male single',40,1,0
184,0,'critical/other existing credit',furniture/equipment,3777,4,2,'male single',50,2,1
185,1,'critical/other existing credit','new car',884,1,4,'male single',36,2,0
186,0,'critical/other existing credit',radio/tv,1360,1,2,'male single',31,2,1
187,1,'all paid','used car',5129,1,4,'female div/dep/mar',74,3,0
188,1,'critical/other existing credit','new car',1175,1,0,'male single',68,0,1
189,-1,'existing paid',radio/tv,674,2,3,'male mar/wid',20,2,0
190,1,'no credits/all paid',furniture/equipment,3244,1,2,'female div/dep/mar',33,2,1
191,0,'existing paid',business,4591,4,2,'male single',54,3,0
192,1,'no credits/all paid',business,3844,2,3,'male single',34,1,0
193,1,'existing paid',business,3915,1,2,'male single',36,2,0
194,0,'existing paid',radio/tv,2108,1,3,'male mar/wid',29,2,1
195,1,'existing paid',radio/tv,3031,2,2,'male single',21,2,0
196,1,'critical/other existing credit',education,1501,1,4,'female div/dep/mar',34,3,0
197,0,'critical/other existing credit',radio/tv,1382,1,2,'female div/dep/mar',28,2,1
198,1,'existing paid',furniture/equipment,951,2,1,'female div/dep/mar',27,2,0
199,1,'existing paid','used car',2760,0,4,'male single',36,2,1
200,1,'delayed previously',furniture/equipment,4297,1,4,'male div/sep',40,3,0
201,0,'critical/other existing credit',education,936,3,4,'male single',52,2,1
202,-1,'existing paid','new car',1168,1,2,'male mar/wid',27,1,1
203,0,'delayed previously',business,5117,1,3,'male single',26,2,1
204,-1,'existing paid',retraining,902,1,3,'male mar/wid',21,2,0
205,0,'critical/other existing credit','new car',1495,1,4,'male single',38,1,1
206,-1,'critical/other existing credit','used car',10623,1,4,'male single',38,3,1
207,0,'critical/other existing credit',furniture/equipment,1935,1,4,'male single',43,2,1
208,1,'critical/other existing credit','domestic appliance',1424,1,3,'male single',26,2,1
209,-1,'existing paid',business,6568,1,2,'male mar/wid',21,1,1
210,0,'existing paid','used car',1413,4,3,'male single',55,2,1
211,0,'critical/other existing credit',radio/tv,3074,0,2,'male single',33,2,1
212,0,'existing paid',radio/tv,3835,0,4,'female div/dep/mar',45,1,1
213,-1,'no credits/all paid',business,5293,1,0,'male single',50,2,0
214,2,'delayed previously',business,1908,1,4,'male single',66,3,0
215,0,'critical/other existing credit',radio/tv,3342,0,4,'male single',51,2,1
216,1,'critical/other existing credit',retraining,932,0,3,'female div/dep/mar',39,1,1
217,-1,'no credits/all paid',business,3104,1,3,'male single',31,2,1
218,2,'existing paid',radio/tv,3913,1,2,'male single',23,2,1
219,-1,'existing paid',furniture/equipment,3021,1,2,'male div/sep',24,1,1
220,0,'existing paid','new car',1364,1,2,'female div/dep/mar',64,2,1
221,1,'existing paid',radio/tv,625,1,1,'male mar/wid',26,1,1
222,-1,'existing paid',education,1200,0,2,'female div/dep/mar',23,2,1
223,0,'existing paid',radio/tv,707,1,2,'male single',30,2,1
224,0,'delayed previously',business,2978,0,2,'male single',32,2,1
225,0,'existing paid','used car',4657,1,2,'male single',30,2,1
226,0,'no credits/all paid',repairs,2613,1,2,'male single',27,2,1
227,1,'existing paid',radio/tv,10961,4,3,'male single',27,2,0
228,-1,'existing paid',furniture/equipment,7865,1,4,'male single',53,3,0
229,0,'existing paid',radio/tv,1478,1,3,'male single',22,2,0
230,-1,'existing paid',furniture/equipment,3149,1,1,'male single',22,2,1
231,2,'existing paid',radio/tv,4210,1,2,'male single',26,2,0
232,0,'existing paid','new car',2507,3,4,'male single',51,1,1
233,0,'existing paid',radio/tv,2141,2,3,'male single',35,2,1
234,1,'existing paid',radio/tv,866,1,2,'male mar/wid',25,1,1
235,0,'critical/other existing credit',radio/tv,1544,1,3,'male single',42,1,1
236,-1,'existing paid',radio/tv,1823,1,0,'male single',30,3,0
237,1,'existing paid','new car',14555,0,0,'male single',23,0,0
238,1,'existing paid',business,2767,2,4,'male div/sep',61,1,0
239,0,'critical/other existing credit',radio/tv,1291,1,2,'female div/dep/mar',35,2,1
240,-1,'existing paid',radio/tv,2522,1,4,'male single',39,2,1
241,-1,'existing paid','new car',915,0,4,'female div/dep/mar',29,2,0
242,0,'existing paid',radio/tv,1595,1,3,'male single',51,2,1
243,-1,'no credits/all paid','used car',4605,1,4,'male single',24,2,0
244,0,'critical/other existing credit',business,1185,1,2,'female div/dep/mar',27,2,1
245,0,'all paid',retraining,3447,3,2,'female div/dep/mar',35,1,1
246,0,'existing paid',business,1258,1,3,'male single',25,2,1
247,0,'critical/other existing credit',radio/tv,717,1,4,'male single',52,2,1
248,0,'no credits/all paid','new car',1204,2,2,'male single',35,2,1
249,2,'existing paid',furniture/equipment,1925,1,2,'male single',26,2,1
250,0,'existing paid',radio/tv,433,1,0,'female div/dep/mar',22,2,0
251,-1,'critical/other existing credit','new car',666,4,3,'female div/dep/mar',39,1,1
252,2,'existing paid',furniture/equipment,2251,1,2,'female div/dep/mar',46,1,1
253,1,'existing paid','new car',2150,1,2,'female div/dep/mar',24,2,0
254,0,'delayed previously',furniture/equipment,4151,2,2,'male single',35,2,1
255,1,'existing paid',furniture/equipment,2030,0,3,'male single',24,2,1
256,1,'delayed previously',radio/tv,7418,0,2,'male single',27,1,1
257,0,'critical/other existing credit',radio/tv,2684,1,2,'male single',35,1,1
258,-1,'all paid',radio/tv,2149,1,2,'male div/sep',29,2,0
259,0,'existing paid','used car',3812,2,1,'female div/dep/mar',23,2,1
260,0,'critical/other existing credit',radio/tv,1154,2,0,'female div/dep/mar',57,1,1
261,-1,'existing paid',furniture/equipment,1657,1,2,'male single',27,2,1
262,-1,'existing paid',radio/tv,1603,1,4,'female div/dep/mar',55,2,1
263,-1,'critical/other existing credit','new car',5302,1,4,'male single',36,3,1
264,0,'critical/other existing credit',education,2748,1,4,'female div/dep/mar',57,1,1
265,0,'critical/other existing credit','new car',1231,1,4,'male single',32,1,1
266,1,'existing paid',radio/tv,802,1,4,'male single',37,2,0
267,0,'critical/other existing credit',business,6304,0,4,'male single',36,2,1
268,0,'existing paid',radio/tv,1533,1,1,'female div/dep/mar',38,2,1
269,-1,'existing paid','new car',8978,1,4,'male div/sep',45,3,0
270,0,'existing paid',radio/tv,999,0,4,'male single',25,2,1
271,0,'existing paid','new car',2662,0,3,'male single',32,2,1
272,0,'critical/other existing credit',furniture/equipment,1402,3,3,'female div/dep/mar',37,2,1
273,1,'all paid','new car',12169,0,0,'male single',36,3,1
274,1,'existing paid',radio/tv,3060,1,3,'male single',28,2,0
275,-1,'existing paid',repairs,11998,1,1,'male div/sep',34,1,0
276,0,'existing paid',radio/tv,2697,1,2,'male single',32,2,1
277,0,'critical/other existing credit',radio/tv,2404,1,2,'female div/dep/mar',26,2,1
278,-1,'existing paid',furniture/equipment,1262,0,4,'male div/sep',49,1,1
279,0,'existing paid',furniture/equipment,4611,1,1,'female div/dep/mar',32,2,0
280,0,'existing paid',radio/tv,1901,2,2,'male single',29,3,1
281,0,'critical/other existing credit','used car',3368,4,4,'male single',23,2,1
282,0,'existing paid',furniture/equipment,1574,1,2,'male single',50,2,1
283,2,'all paid',radio/tv,1445,0,3,'male single',49,1,1
284,0,'critical/other existing credit',furniture/equipment,1520,0,4,'male single',63,2,1
285,1,'critical/other existing credit','new car',3878,2,1,'male div/sep',37,2,1
286,-1,'existing paid','new car',10722,1,1,'female div/dep/mar',35,1,1
287,-1,'existing paid','used car',4788,1,3,'male single',26,2,1
288,1,'delayed previously',other,7582,2,0,'male single',31,3,1
289,1,'existing paid',radio/tv,1092,1,2,'female div/dep/mar',49,2,1
290,-1,'delayed previously',radio/tv,1024,1,1,'male mar/wid',48,2,0
291,0,'existing paid',business,1076,1,2,'male mar/wid',26,2,1
292,1,'existing paid','used car',9398,1,1,'male mar/wid',28,3,0
293,-1,'critical/other existing credit','used car',6419,1,4,'female div/dep/mar',44,3,1
294,2,'critical/other existing credit','used car',4796,1,4,'male single',56,2,1
295,0,'critical/other existing credit',business,7629,0,4,'male div/sep',46,3,1
296,1,'existing paid',furniture/equipment,9960,1,1,'female div/dep/mar',26,2,0
297,0,'existing paid','used car',4675,0,1,'female div/dep/mar',20,2,1
298,0,'existing paid','new car',1287,0,4,'male single',45,1,1
299,0,'existing paid',furniture/equipment,2515,1,2,'male single',43,2,1
300,1,'critical/other existing credit',furniture/equipment,2745,4,3,'male single',32,2,1
301,0,'existing paid','new car',672,1,0,'female div/dep/mar',54,0,1
302,1,'no credits/all paid',radio/tv,3804,1,2,'female div/dep/mar',42,2,0
303,2,'critical/other existing credit','new car',1344,0,3,'male single',37,1,0
304,-1,'critical/other existing credit','new car',1038,1,3,'male single',49,2,1
305,0,'critical/other existing credit','new car',10127,3,2,'male single',35,2,0
306,0,'existing paid',furniture/equipment,1543,4,2,'male div/sep',33,2,1
307,0,'existing paid','used car',4811,0,3,'female div/dep/mar',24,1,1
308,-1,'existing paid',radio/tv,727,2,1,'male mar/wid',33,1,0
309,1,'existing paid',furniture/equipment,1237,1,2,'female div/dep/mar',24,2,0
310,1,'existing paid','new car',276,1,2,'male mar/wid',22,1,1
311,1,'existing paid',other,5381,0,0,'male single',40,0,1
312,0,'existing paid',furniture/equipment,5511,2,2,'male single',25,2,1
313,2,'existing paid',furniture/equipment,3749,1,1,'female div/dep/mar',26,2,1
314,1,'existing paid','new car',685,1,3,'male mar/wid',25,1,0
315,2,'existing paid','new car',1494,0,1,'male single',29,1,1
316,-1,'all paid',furniture/equipment,2746,1,4,'male single',31,2,0
317,-1,'existing paid',furniture/equipment,708,1,2,'male single',38,1,1
318,1,'existing paid',furniture/equipment,4351,0,2,'female div/dep/mar',48,1,1
319,0,'critical/other existing credit',education,701,1,2,'male single',32,2,1
320,-1,'delayed previously',furniture/equipment,3643,1,4,'female div/dep/mar',27,1,1
321,1,'critical/other existing credit','new car',4249,1,0,'male mar/wid',28,3,0
322,-1,'existing paid',radio/tv,1938,1,1,'male div/sep',32,2,0
323,-1,'existing paid','used car',2910,1,3,'male single',34,3,1
324,-1,'existing paid',furniture/equipment,2659,4,2,'male single',28,2,1
325,0,'critical/other existing credit','new car',1028,1,2,'female div/dep/mar',36,2,1
326,-1,'critical/other existing credit','new car',3398,1,3,'male single',39,1,1
327,0,'critical/other existing credit',furniture/equipment,5801,0,4,'male single',49,2,1
328,0,'existing paid','new car',1525,4,3,'female div/dep/mar',34,2,1
329,2,'existing paid',radio/tv,4473,1,4,'male single',31,2,1
330,1,'existing paid',radio/tv,1068,1,4,'male single',28,2,1
331,-1,'critical/other existing credit','used car',6615,1,0,'male single',75,3,1
332,0,'critical/other existing credit',education,1864,2,2,'female div/dep/mar',30,2,0
333,1,'existing paid','new car',7408,2,1,'female div/dep/mar',24,3,0
334,0,'critical/other existing credit','used car',11590,2,2,'female div/dep/mar',24,1,0
335,-1,'no credits/all paid',furniture/equipment,4110,1,4,'male single',23,2,0
336,-1,'critical/other existing credit',furniture/equipment,3384,1,2,'male div/sep',44,3,0
337,1,'existing paid',radio/tv,2101,1,1,'female div/dep/mar',23,1,1
338,-1,'existing paid','domestic appliance',1275,0,2,'female div/dep/mar',24,2,0
339,-1,'existing paid',furniture/equipment,4169,1,2,'male single',28,2,1
340,1,'existing paid',furniture/equipment,1521,1,2,'male div/sep',31,1,1
341,1,'critical/other existing credit',education,5743,1,1,'female div/dep/mar',24,2,1
342,-1,'existing paid',furniture/equipment,3599,1,3,'female div/dep/mar',26,1,1
343,1,'existing paid',radio/tv,3213,3,1,'male mar/wid',25,2,1
344,1,'existing paid',business,4439,1,4,'male single',33,3,1
345,2,'existing paid','new car',3949,1,1,'male single',37,1,1
346,0,'critical/other existing credit',radio/tv,1459,1,2,'female div/dep/mar',43,1,1
347,1,'critical/other existing credit',radio/tv,882,1,1,'male single',23,2,1
348,1,'existing paid',radio/tv,3758,3,0,'female div/dep/mar',23,0,1
349,0,'delayed previously',business,1743,2,2,'male single',34,1,1
350,1,'critical/other existing credit',education,1136,4,4,'male single',32,2,0
351,0,'existing paid','domestic appliance',1236,1,1,'female div/dep/mar',23,2,1
352,1,'existing paid',furniture/equipment,959,1,2,'female div/dep/mar',29,2,0
353,0,'critical/other existing credit','used car',3229,0,0,'male single',38,3,1
354,-1,'no credits/all paid',radio/tv,6199,1,2,'male single',28,2,0
355,0,'existing paid',education,727,3,4,'male single',46,2,1
356,1,'existing paid','new car',1246,1,1,'male single',23,1,0
357,0,'critical/other existing credit',radio/tv,2331,0,4,'male single',49,2,1
358,0,'delayed previously',radio/tv,4463,1,2,'male single',26,3,0
359,0,'existing paid',radio/tv,776,1,2,'male mar/wid',28,2,1
360,-1,'existing paid',furniture/equipment,2406,1,3,'female div/dep/mar',23,2,0
361,1,'existing paid',education,1239,0,2,'male single',61,2,1
362,2,'existing paid',radio/tv,3399,0,4,'male single',37,3,1
363,2,'delayed previously','new car',2247,1,2,'female div/dep/mar',36,2,1
364,0,'existing paid',furniture/equipment,1766,1,2,'male mar/wid',21,2,1
365,-1,'existing paid',furniture/equipment,2473,1,0,'male single',25,0,0
366,0,'existing paid',business,1542,1,3,'male single',36,2,1
367,0,'critical/other existing credit','used car',3850,1,3,'male single',27,2,1
368,-1,'existing paid',furniture/equipment,3650,1,1,'female div/dep/mar',22,2,1
369,-1,'existing paid',furniture/equipment,3446,1,4,'male single',42,2,0
370,1,'existing paid',furniture/equipment,3001,1,3,'female div/dep/mar',40,2,1
371,0,'existing paid','new car',3079,0,2,'male single',36,2,1
372,0,'critical/other existing credit',radio/tv,6070,1,4,'male single',33,2,1
373,0,'critical/other existing credit',furniture/equipment,2146,1,1,'female div/dep/mar',23,2,1
374,0,'critical/other existing credit','new car',13756,0,4,'male single',63,3,1
375,1,'all paid',other,14782,2,4,'female div/dep/mar',60,3,0
376,-1,'all paid',business,7685,1,3,'female div/dep/mar',37,2,0
377,0,'delayed previously',radio/tv,2320,1,0,'male mar/wid',34,2,1
378,0,'delayed previously',radio/tv,846,0,4,'male single',36,2,1
379,1,'existing paid','new car',14318,1,4,'male single',57,3,0
380,0,'critical/other existing credit','new car',362,2,2,'female div/dep/mar',52,1,1
381,-1,'existing paid',furniture/equipment,2212,0,3,'male single',39,2,1
